country,team,player,position,dob,tour,start,end,place,prize,startelo64,endelo64
,Virtus.pro,god,2,,Game Show League Season 1,2014-09-11,2014-09-13,3,7000.0,1167.801337335797,1107.9705767210128
Russia,Virtus.pro,sedoy,3,1992-06-08,Game Show League Season 1,2014-09-11,2014-09-13,3,7000.0,1167.801337335797,1107.9705767210128
Russia,Virtus.pro,jotm,4,1993-02-26,Game Show League Season 1,2014-09-11,2014-09-13,3,7000.0,1167.801337335797,1107.9705767210128
Russia,Virtus.pro,yol,5,1999-05-13,Game Show League Season 1,2014-09-11,2014-09-13,3,7000.0,1167.801337335797,1107.9705767210128
Ukraine,Natus Vincere,xboct,1,1990-12-29,Game Show League Season 1,2014-09-11,2014-09-13,2,10000.0,1297.6842689304135,1293.6157390494825
Ukraine,Natus Vincere,dendi,2,1989-12-30,Game Show League Season 1,2014-09-11,2014-09-13,2,10000.0,1297.6842689304135,1293.6157390494825
Ukraine,Natus Vincere,funn1k,3,1992-11-16,Game Show League Season 1,2014-09-11,2014-09-13,2,10000.0,1297.6842689304135,1293.6157390494825
Russia,Natus Vincere,vanskor,4,1995-01-20,Game Show League Season 1,2014-09-11,2014-09-13,2,10000.0,1297.6842689304135,1293.6157390494825
Belarus,Natus Vincere,fng,5,1995-09-24,Game Show League Season 1,2014-09-11,2014-09-13,2,10000.0,1297.6842689304135,1293.6157390494825
Russia,NVMI,illidan,1,1991-08-13,Game Show League Season 1,2014-09-11,2014-09-13,1,20000.0,,
Russia,NVMI,scandal,2,1991-12-04,Game Show League Season 1,2014-09-11,2014-09-13,1,20000.0,,
Ukraine,NVMI,dkphobos,3,1989-08-27,Game Show League Season 1,2014-09-11,2014-09-13,1,20000.0,,
Ukraine,NVMI,goblak,4,1988-12-04,Game Show League Season 1,2014-09-11,2014-09-13,1,20000.0,,
Ukraine,NVMI,lil,5,1995-12-24,Game Show League Season 1,2014-09-11,2014-09-13,1,20000.0,,
Ukraine,HellRaisers,alohadance,1,1997-09-15,Game Show League Season 1,2014-09-11,2014-09-13,5,3000.0,,
Russia,HellRaisers,yoky,2,1995-02-07,Game Show League Season 1,2014-09-11,2014-09-13,5,3000.0,,
Russia,HellRaisers,dread,3,1991-01-19,Game Show League Season 1,2014-09-11,2014-09-13,5,3000.0,,
Ukraine,HellRaisers,artstyle,4,1989-04-20,Game Show League Season 1,2014-09-11,2014-09-13,5,3000.0,,
,HellRaisers,dubas,5,,Game Show League Season 1,2014-09-11,2014-09-13,5,3000.0,,
Russia,Moscow Five,blowyourbrain,1,1992-10-03,Game Show League Season 1,2014-09-11,2014-09-13,5,3000.0,,
Russia,Moscow Five,tpoh,2,,Game Show League Season 1,2014-09-11,2014-09-13,5,3000.0,,
Russia,Moscow Five,vigoss,3,1987-10-31,Game Show League Season 1,2014-09-11,2014-09-13,5,3000.0,,
Russia,Moscow Five,kingr,4,1993-08-22,Game Show League Season 1,2014-09-11,2014-09-13,5,3000.0,,
Russia,Moscow Five,pgg,5,1990-11-13,Game Show League Season 1,2014-09-11,2014-09-13,5,3000.0,,
Ukraine,Natus Vincere,dendi,1,1989-12-30,Megafon Battle Arena,2014-08-25,2014-08-26,2,5000.0,1104.3553327708466,1176.1060652165968
Ukraine,Natus Vincere,funn1k,2,1992-11-16,Megafon Battle Arena,2014-08-25,2014-08-26,2,5000.0,1104.3553327708466,1176.1060652165968
Ukraine,Natus Vincere,xboct,3,1990-12-29,Megafon Battle Arena,2014-08-25,2014-08-26,2,5000.0,1104.3553327708466,1176.1060652165968
Belarus,Natus Vincere,fng,4,1995-09-24,Megafon Battle Arena,2014-08-25,2014-08-26,2,5000.0,1104.3553327708466,1176.1060652165968
Russia,Natus Vincere,vanskor,5,1995-01-20,Megafon Battle Arena,2014-08-25,2014-08-26,2,5000.0,1104.3553327708466,1176.1060652165968
USA,Team Tinker,bulba,1,1991-07-10,Megafon Battle Arena,2014-08-25,2014-08-26,1,10000.0,,
Sweden,Team Tinker,egm,2,1991-06-04,Megafon Battle Arena,2014-08-25,2014-08-26,1,10000.0,,
Sweden,Team Tinker,pajkatt,3,1992-09-19,Megafon Battle Arena,2014-08-25,2014-08-26,1,10000.0,,
Germany,Team Tinker,qojqva,4,,Megafon Battle Arena,2014-08-25,2014-08-26,1,10000.0,,
Netherlands,Team Tinker,singsing,5,1991-06-19,Megafon Battle Arena,2014-08-25,2014-08-26,1,10000.0,,
Ukraine,Team Empire,alwayswannafly,1,1991-03-06,Megafon Battle Arena,2014-08-25,2014-08-26,2,5000.0,1248.4774898168316,1246.773644172373
Ukraine,Team Empire,mag,2,1990-05-10,Megafon Battle Arena,2014-08-25,2014-08-26,2,5000.0,1248.4774898168316,1246.773644172373
Russia,Team Empire,scandal,3,1991-12-04,Megafon Battle Arena,2014-08-25,2014-08-26,2,5000.0,1248.4774898168316,1246.773644172373
Russia,Team Empire,silent,4,1992-12-03,Megafon Battle Arena,2014-08-25,2014-08-26,2,5000.0,1248.4774898168316,1246.773644172373
Ukraine,Team Empire,resolut1on,5,1996-09-02,Megafon Battle Arena,2014-08-25,2014-08-26,2,5000.0,1248.4774898168316,1246.773644172373
Russia,Virtus.Pro,bzzisperfect,1,1992-11-09,Megafon Battle Arena,2014-08-25,2014-08-26,2,5000.0,1254.4098169739825,1252.6652925147325
,Virtus.Pro,god,2,,Megafon Battle Arena,2014-08-25,2014-08-26,2,5000.0,1254.4098169739825,1252.6652925147325
Russia,Virtus.Pro,jotm,3,1993-02-26,Megafon Battle Arena,2014-08-25,2014-08-26,2,5000.0,1254.4098169739825,1252.6652925147325
Russia,Virtus.Pro,sedoy,4,1992-06-08,Megafon Battle Arena,2014-08-25,2014-08-26,2,5000.0,1254.4098169739825,1252.6652925147325
Russia,Virtus.Pro,yol,5,1999-05-13,Megafon Battle Arena,2014-08-25,2014-08-26,2,5000.0,1254.4098169739825,1252.6652925147325
,MVP Phoenix,march,1,,Korea Dota League Season 2,2014-04-27,2014-06-29,1,9870.0,989.4778254341724,1060.8414991913637
South Korea,MVP Phoenix,qo,2,1993-09-22,Korea Dota League Season 2,2014-04-27,2014-06-29,1,9870.0,989.4778254341724,1060.8414991913637
South Korea,MVP Phoenix,forev,3,1991-11-18,Korea Dota League Season 2,2014-04-27,2014-06-29,1,9870.0,989.4778254341724,1060.8414991913637
South Korea,MVP Phoenix,reisen,4,1993-03-04,Korea Dota League Season 2,2014-04-27,2014-06-29,1,9870.0,989.4778254341724,1060.8414991913637
South Korea,MVP Phoenix,heen,5,1987-02-28,Korea Dota League Season 2,2014-04-27,2014-06-29,1,9870.0,989.4778254341724,1060.8414991913637
China,Team DK,burning,1,1988-04-02,V Games Tournament,2014-06-02,2014-06-25,1,8021.0,1265.9012876765387,1381.8941119226206
Malaysia,Team DK,mushi,2,1990-11-27,V Games Tournament,2014-06-02,2014-06-25,1,8021.0,1265.9012876765387,1381.8941119226206
Singapore,Team DK,iceiceice,3,1990-06-17,V Games Tournament,2014-06-02,2014-06-25,1,8021.0,1265.9012876765387,1381.8941119226206
China,Team DK,lanm,4,1989-12-25,V Games Tournament,2014-06-02,2014-06-25,1,8021.0,1265.9012876765387,1381.8941119226206
China,Team DK,mmy,5,1989-09-10,V Games Tournament,2014-06-02,2014-06-25,1,8021.0,1265.9012876765387,1381.8941119226206
China,Invictus Gaming,luo,1,1990-10-25,V Games Tournament,2014-06-02,2014-06-25,3,1604.0,1454.737910784742,1514.3239272306314
,Invictus Gaming,ferrari_430,2,,V Games Tournament,2014-06-02,2014-06-25,3,1604.0,1454.737910784742,1514.3239272306314
China,Invictus Gaming,yyf,3,1987-02-03,V Games Tournament,2014-06-02,2014-06-25,3,1604.0,1454.737910784742,1514.3239272306314
Malaysia,Invictus Gaming,chuan,4,1991-07-28,V Games Tournament,2014-06-02,2014-06-25,3,1604.0,1454.737910784742,1514.3239272306314
China,Invictus Gaming,faith,5,1992-02-06,V Games Tournament,2014-06-02,2014-06-25,3,1604.0,1454.737910784742,1514.3239272306314
China,Vici Gaming,sylar,1,1993-12-20,V Games Tournament,2014-06-02,2014-06-25,5,321.0,1360.9050679947509,1261.748588236749
China,Vici Gaming,super,2,1993-01-04,V Games Tournament,2014-06-02,2014-06-25,5,321.0,1360.9050679947509,1261.748588236749
China,Vici Gaming,rotk,3,1992-03-13,V Games Tournament,2014-06-02,2014-06-25,5,321.0,1360.9050679947509,1261.748588236749
China,Vici Gaming,fy,4,1995-02-12,V Games Tournament,2014-06-02,2014-06-25,5,321.0,1360.9050679947509,1261.748588236749
China,Vici Gaming,fenrir,5,1989-01-18,V Games Tournament,2014-06-02,2014-06-25,5,321.0,1360.9050679947509,1261.748588236749
China,Newbee,hao,1,1990-07-28,V Games Tournament,2014-06-02,2014-06-25,2,3208.0,1402.0599608398925,1381.0652620947112
China,Newbee,mu,2,1989-12-24,V Games Tournament,2014-06-02,2014-06-25,2,3208.0,1402.0599608398925,1381.0652620947112
China,Newbee,xiao8,3,1989-11-14,V Games Tournament,2014-06-02,2014-06-25,2,3208.0,1402.0599608398925,1381.0652620947112
China,Newbee,banana,4,,V Games Tournament,2014-06-02,2014-06-25,2,3208.0,1402.0599608398925,1381.0652620947112
China,Newbee,sansheng,5,1989-06-13,V Games Tournament,2014-06-02,2014-06-25,2,3208.0,1402.0599608398925,1381.0652620947112
China,LGD Gaming,rabbit,1,,V Games Tournament,2014-06-02,2014-06-25,9,160.0,1012.0688900592171,1126.7370969146655
China,LGD Gaming,lin,2,,V Games Tournament,2014-06-02,2014-06-25,9,160.0,1012.0688900592171,1126.7370969146655
China,LGD Gaming,yao,3,1990-12-23,V Games Tournament,2014-06-02,2014-06-25,9,160.0,1012.0688900592171,1126.7370969146655
China,LGD Gaming,dd,4,,V Games Tournament,2014-06-02,2014-06-25,9,160.0,1012.0688900592171,1126.7370969146655
Macau,LGD Gaming,ddc,5,1990-07-03,V Games Tournament,2014-06-02,2014-06-25,9,160.0,1012.0688900592171,1126.7370969146655
China,HyperGloryTeam,rabbit,1,,V Games Tournament,2014-06-02,2014-06-25,5,321.0,1097.6814828484414,1084.0157060883814
China,HyperGloryTeam,lin,2,,V Games Tournament,2014-06-02,2014-06-25,5,321.0,1097.6814828484414,1084.0157060883814
China,HyperGloryTeam,yao,3,1990-12-23,V Games Tournament,2014-06-02,2014-06-25,5,321.0,1097.6814828484414,1084.0157060883814
China,HyperGloryTeam,dd,4,,V Games Tournament,2014-06-02,2014-06-25,5,321.0,1097.6814828484414,1084.0157060883814
Macau,HyperGloryTeam,ddc,5,1990-07-03,V Games Tournament,2014-06-02,2014-06-25,5,321.0,1097.6814828484414,1084.0157060883814
China,DT^Club,xdd,1,,V Games Tournament,2014-06-02,2014-06-25,9,160.0,,
China,DT^Club,air,2,,V Games Tournament,2014-06-02,2014-06-25,9,160.0,,
China,DT^Club,injuly,3,1993-01-28,V Games Tournament,2014-06-02,2014-06-25,9,160.0,,
China,DT^Club,super,4,1993-01-04,V Games Tournament,2014-06-02,2014-06-25,9,160.0,,
China,DT^Club,dreamyu,5,,V Games Tournament,2014-06-02,2014-06-25,9,160.0,,
Germany,CIS Game,black,1,1993-05-27,V Games Tournament,2014-06-02,2014-06-25,9,160.0,1042.5345318761335,1038.9191505894769
China,CIS Game,inflame,2,1992-12-22,V Games Tournament,2014-06-02,2014-06-25,9,160.0,1042.5345318761335,1038.9191505894769
China,CIS Game,june,3,1994-08-28,V Games Tournament,2014-06-02,2014-06-25,9,160.0,1042.5345318761335,1038.9191505894769
China,CIS Game,ayo,4,,V Games Tournament,2014-06-02,2014-06-25,9,160.0,1042.5345318761335,1038.9191505894769
China,CIS Game,demons,5,,V Games Tournament,2014-06-02,2014-06-25,9,160.0,1042.5345318761335,1038.9191505894769
China,Orenda,yim,1,1993-05-22,V Games Tournament,2014-06-02,2014-06-25,9,160.0,845.3827095981575,
China,Orenda,290,2,,V Games Tournament,2014-06-02,2014-06-25,9,160.0,845.3827095981575,
,Orenda,zyf,3,,V Games Tournament,2014-06-02,2014-06-25,9,160.0,845.3827095981575,
,Orenda,liionly,4,,V Games Tournament,2014-06-02,2014-06-25,9,160.0,845.3827095981575,
,Orenda,yi,5,,V Games Tournament,2014-06-02,2014-06-25,9,160.0,845.3827095981575,
China,LGD.CDEC,agressif,1,1991-11-11,V Games Tournament,2014-06-02,2014-06-25,5,321.0,,
China,LGD.CDEC,maybe,2,1995-12-16,V Games Tournament,2014-06-02,2014-06-25,5,321.0,,
,LGD.CDEC,333,3,,V Games Tournament,2014-06-02,2014-06-25,5,321.0,,
China,LGD.CDEC,garder,4,1989-04-17,V Games Tournament,2014-06-02,2014-06-25,5,321.0,,
China,LGD.CDEC,q,5,1993-04-18,V Games Tournament,2014-06-02,2014-06-25,5,321.0,,
,Speed Gaming.cn,mylove77,1,,V Games Tournament,2014-06-02,2014-06-25,4,802.0,,
China,Speed Gaming.cn,blink,2,1992-07-31,V Games Tournament,2014-06-02,2014-06-25,4,802.0,,
,Speed Gaming.cn,faith_bian,3,,V Games Tournament,2014-06-02,2014-06-25,4,802.0,,
China,Speed Gaming.cn,jdh,4,,V Games Tournament,2014-06-02,2014-06-25,4,802.0,,
China,Speed Gaming.cn,y,5,1998-08-08,V Games Tournament,2014-06-02,2014-06-25,4,802.0,,
China,Team DK,burning,1,1988-04-02,GEST The Challenge June,2014-06-16,2014-06-23,2,2000.0,1440.96998363006,1387.185884123725
Malaysia,Team DK,mushi,2,1990-11-27,GEST The Challenge June,2014-06-16,2014-06-23,2,2000.0,1440.96998363006,1387.185884123725
Singapore,Team DK,iceiceice,3,1990-06-17,GEST The Challenge June,2014-06-16,2014-06-23,2,2000.0,1440.96998363006,1387.185884123725
China,Team DK,lanm,4,1989-12-25,GEST The Challenge June,2014-06-16,2014-06-23,2,2000.0,1440.96998363006,1387.185884123725
China,Team DK,mmy,5,1989-09-10,GEST The Challenge June,2014-06-16,2014-06-23,2,2000.0,1440.96998363006,1387.185884123725
China,Newbee,hao,1,1990-07-28,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,1385.2234872053039,1448.2744157312713
China,Newbee,mu,2,1989-12-24,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,1385.2234872053039,1448.2744157312713
China,Newbee,xiao8,3,1989-11-14,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,1385.2234872053039,1448.2744157312713
China,Newbee,banana,4,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,1385.2234872053039,1448.2744157312713
China,Newbee,sansheng,5,1989-06-13,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,1385.2234872053039,1448.2744157312713
China,Invictus Gaming,luo,1,1990-10-25,GEST The Challenge June,2014-06-16,2014-06-23,1,7000.0,1382.6090291861194,1459.5218662234588
,Invictus Gaming,ferrari_430,2,,GEST The Challenge June,2014-06-16,2014-06-23,1,7000.0,1382.6090291861194,1459.5218662234588
China,Invictus Gaming,yyf,3,1987-02-03,GEST The Challenge June,2014-06-16,2014-06-23,1,7000.0,1382.6090291861194,1459.5218662234588
Malaysia,Invictus Gaming,chuan,4,1991-07-28,GEST The Challenge June,2014-06-16,2014-06-23,1,7000.0,1382.6090291861194,1459.5218662234588
China,Invictus Gaming,faith,5,1992-02-06,GEST The Challenge June,2014-06-16,2014-06-23,1,7000.0,1382.6090291861194,1459.5218662234588
China,Vici Gaming,sylar,1,1993-12-20,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,1179.1564668305275,1265.3755462328704
China,Vici Gaming,super,2,1993-01-04,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,1179.1564668305275,1265.3755462328704
China,Vici Gaming,rotk,3,1992-03-13,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,1179.1564668305275,1265.3755462328704
China,Vici Gaming,fy,4,1995-02-12,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,1179.1564668305275,1265.3755462328704
China,Vici Gaming,fenrir,5,1989-01-18,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,1179.1564668305275,1265.3755462328704
China,LGD Gaming,rabbit,1,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,1293.045897274009,1128.4932482282466
China,LGD Gaming,lin,2,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,1293.045897274009,1128.4932482282466
China,LGD Gaming,yao,3,1990-12-23,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,1293.045897274009,1128.4932482282466
China,LGD Gaming,dd,4,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,1293.045897274009,1128.4932482282466
Macau,LGD Gaming,ddc,5,1990-07-03,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,1293.045897274009,1128.4932482282466
Germany,CIS Game,black,1,1993-05-27,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,1075.9207152140575,1039.4584395513914
China,CIS Game,inflame,2,1992-12-22,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,1075.9207152140575,1039.4584395513914
China,CIS Game,june,3,1994-08-28,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,1075.9207152140575,1039.4584395513914
China,CIS Game,ayo,4,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,1075.9207152140575,1039.4584395513914
China,CIS Game,demons,5,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,1075.9207152140575,1039.4584395513914
China,DT^Club,xdd,1,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
China,DT^Club,air,2,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
China,DT^Club,injuly,3,1993-01-28,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
China,DT^Club,super,4,1993-01-04,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
China,DT^Club,dreamyu,5,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
,TongFu,xiaolv,1,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
,TongFu,uuu9,2,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
China,TongFu,red,3,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
China,TongFu,lpc,4,1990-01-12,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
China,TongFu,kabu,5,1992-07-16,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
,Orange Esports,tfg,1,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,909.6307570590552,913.8802603911856
Malaysia,Orange Esports,dabeliuteef,2,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,909.6307570590552,913.8802603911856
Malaysia,Orange Esports,winter,3,1989-08-21,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,909.6307570590552,913.8802603911856
Malaysia,Orange Esports,ling,4,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,909.6307570590552,913.8802603911856
Malaysia,Orange Esports,sharky,5,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,909.6307570590552,913.8802603911856
,Arrow Gaming,lance,1,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
Malaysia,Arrow Gaming,ddz,2,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
Malaysia,Arrow Gaming,xiangzai,3,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
Malaysia,Arrow Gaming,johnny,4,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
Malaysia,Arrow Gaming,mozun,5,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
Malaysia,Titan,kyxy,1,1991-05-26,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,1305.6588472648255,1234.751450438113
Malaysia,Titan,yamateh,2,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,1305.6588472648255,1234.751450438113
Malaysia,Titan,ohaiyo,3,1993-03-31,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,1305.6588472648255,1234.751450438113
,Titan,net,4,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,1305.6588472648255,1234.751450438113
Malaysia,Titan,xtinct,5,1988-10-16,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,1305.6588472648255,1234.751450438113
South Korea,Pokerface,febby,1,1993-02-19,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
South Korea,Pokerface,jyu,2,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
South Korea,Pokerface,mp,3,1994-04-16,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
South Korea,Pokerface,cynical,4,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
South Korea,Pokerface,sky,5,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
Singapore,Scythe Gaming,meracle,1,1996-03-08,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
Singapore,Scythe Gaming,poloson,2,1996-04-28,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
Singapore,Scythe Gaming,hana,3,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
,Scythe Gaming,chibix33,4,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
Singapore,Scythe Gaming,xfreedom,5,1993-05-10,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
Philippines,Mineski,jacko,1,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
Philippines,Mineski,owa,2,1993-05-05,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
Philippines,Mineski,bimbo,3,1995-11-15,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
,Mineski,deeznuts,4,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
,Mineski,champi,5,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
Thailand,MiTH.Trust,lakelz,1,1989-10-26,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
Thailand,MiTH.Trust,mypro,2,1992-06-25,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
Thailand,MiTH.Trust,kyt,3,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
Thailand,MiTH.Trust,nokky,4,,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
Thailand,MiTH.Trust,boombell,5,1990-06-30,GEST The Challenge June,2014-06-16,2014-06-23,3,1000.0,,
,MVP Phoenix,march,1,,Korea Dota League Season 2 - Tier 1,2014-04-27,2014-06-15,1,21714.0,989.4778254341724,1074.3221140715284
South Korea,MVP Phoenix,qo,2,1993-09-22,Korea Dota League Season 2 - Tier 1,2014-04-27,2014-06-15,1,21714.0,989.4778254341724,1074.3221140715284
South Korea,MVP Phoenix,forev,3,1991-11-18,Korea Dota League Season 2 - Tier 1,2014-04-27,2014-06-15,1,21714.0,989.4778254341724,1074.3221140715284
South Korea,MVP Phoenix,reisen,4,1993-03-04,Korea Dota League Season 2 - Tier 1,2014-04-27,2014-06-15,1,21714.0,989.4778254341724,1074.3221140715284
South Korea,MVP Phoenix,heen,5,1987-02-28,Korea Dota League Season 2 - Tier 1,2014-04-27,2014-06-15,1,21714.0,989.4778254341724,1074.3221140715284
China,Team DK,burning,1,1988-04-02,ECL 2014 Spring,2014-03-26,2014-06-15,1,16104.0,1377.0085076755333,1444.0146555538581
Malaysia,Team DK,mushi,2,1990-11-27,ECL 2014 Spring,2014-03-26,2014-06-15,1,16104.0,1377.0085076755333,1444.0146555538581
Singapore,Team DK,iceiceice,3,1990-06-17,ECL 2014 Spring,2014-03-26,2014-06-15,1,16104.0,1377.0085076755333,1444.0146555538581
China,Team DK,mmy,4,1989-09-10,ECL 2014 Spring,2014-03-26,2014-06-15,1,16104.0,1377.0085076755333,1444.0146555538581
China,Team DK,lanm,5,1989-12-25,ECL 2014 Spring,2014-03-26,2014-06-15,1,16104.0,1377.0085076755333,1444.0146555538581
China,Invictus Gaming,luo,1,1990-10-25,ECL 2014 Spring,2014-03-26,2014-06-15,3,1610.0,1361.217418562119,1360.7734521599389
,Invictus Gaming,ferrari_430,2,,ECL 2014 Spring,2014-03-26,2014-06-15,3,1610.0,1361.217418562119,1360.7734521599389
China,Invictus Gaming,yyf,3,1987-02-03,ECL 2014 Spring,2014-03-26,2014-06-15,3,1610.0,1361.217418562119,1360.7734521599389
Malaysia,Invictus Gaming,chuan,4,1991-07-28,ECL 2014 Spring,2014-03-26,2014-06-15,3,1610.0,1361.217418562119,1360.7734521599389
China,Invictus Gaming,faith,5,1992-02-06,ECL 2014 Spring,2014-03-26,2014-06-15,3,1610.0,1361.217418562119,1360.7734521599389
China,LGD Gaming,rabbit,1,,ECL 2014 Spring,2014-03-26,2014-06-15,3,1610.0,1151.5432261320934,1259.0365431595942
China,LGD Gaming,yao,2,1990-12-23,ECL 2014 Spring,2014-03-26,2014-06-15,3,1610.0,1151.5432261320934,1259.0365431595942
China,LGD Gaming,icy,3,1991-01-24,ECL 2014 Spring,2014-03-26,2014-06-15,3,1610.0,1151.5432261320934,1259.0365431595942
China,LGD Gaming,dd,4,,ECL 2014 Spring,2014-03-26,2014-06-15,3,1610.0,1151.5432261320934,1259.0365431595942
Macau,LGD Gaming,ddc,5,1990-07-03,ECL 2014 Spring,2014-03-26,2014-06-15,3,1610.0,1151.5432261320934,1259.0365431595942
,TongFu.WanZhou,sryfox,1,,ECL 2014 Spring,2014-03-26,2014-06-15,3,1610.0,1049.571994960891,
,TongFu.WanZhou,uuu9,2,,ECL 2014 Spring,2014-03-26,2014-06-15,3,1610.0,1049.571994960891,
,TongFu.WanZhou,mtsty,3,,ECL 2014 Spring,2014-03-26,2014-06-15,3,1610.0,1049.571994960891,
,TongFu.WanZhou,xbg,4,,ECL 2014 Spring,2014-03-26,2014-06-15,3,1610.0,1049.571994960891,
China,TongFu.WanZhou,q,5,1993-04-18,ECL 2014 Spring,2014-03-26,2014-06-15,3,1610.0,1049.571994960891,
China,HyperGloryTeam,prettyhaw,1,1992-09-16,ECL 2014 Spring,2014-03-26,2014-06-15,3,1610.0,,1107.751033448976
,HyperGloryTeam,121,2,,ECL 2014 Spring,2014-03-26,2014-06-15,3,1610.0,,1107.751033448976
China,HyperGloryTeam,kaka,3,1992-11-07,ECL 2014 Spring,2014-03-26,2014-06-15,3,1610.0,,1107.751033448976
China,HyperGloryTeam,xtt,4,,ECL 2014 Spring,2014-03-26,2014-06-15,3,1610.0,,1107.751033448976
China,HyperGloryTeam,zsmj,5,1990-01-11,ECL 2014 Spring,2014-03-26,2014-06-15,3,1610.0,,1107.751033448976
China,Newbee,hao,1,1990-07-28,ECL 2014 Spring,2014-03-26,2014-06-15,2,3221.0,,1362.9539038093026
China,Newbee,mu,2,1989-12-24,ECL 2014 Spring,2014-03-26,2014-06-15,2,3221.0,,1362.9539038093026
China,Newbee,kingj,3,,ECL 2014 Spring,2014-03-26,2014-06-15,2,3221.0,,1362.9539038093026
China,Newbee,xiao8,4,1989-11-14,ECL 2014 Spring,2014-03-26,2014-06-15,2,3221.0,,1362.9539038093026
China,Newbee,banana,5,,ECL 2014 Spring,2014-03-26,2014-06-15,2,3221.0,,1362.9539038093026
China,New Element,shiki,1,1992-10-07,ECL 2014 Spring,2014-03-26,2014-06-15,3,1610.0,,994.6624678180472
China,New Element,garder,2,1989-04-17,ECL 2014 Spring,2014-03-26,2014-06-15,3,1610.0,,994.6624678180472
China,New Element,xz,3,1992-10-18,ECL 2014 Spring,2014-03-26,2014-06-15,3,1610.0,,994.6624678180472
,New Element,zcd,4,,ECL 2014 Spring,2014-03-26,2014-06-15,3,1610.0,,994.6624678180472
,New Element,long,5,,ECL 2014 Spring,2014-03-26,2014-06-15,3,1610.0,,994.6624678180472
